name,domain,website,contact_email,jurisdiction
"Truthed, Inc",truthed.com,https://www.truthed.com,anita@truthed.com,CA
"TSG Holdco, LLC",finthrive.com,www.finthrive.com,tsg@finthrive.com,CA
"Tunnl, LLC",tunnldata.com,tunnldata.com,notice@tunnldata.com,CA
"UNMASK, LLC",unmask.com,unmask.com,compliance@unmask.com,CA
Uplead LLC,uplead.com,www.uplead.com,techteam@uplead.com,CA
UPS Capital Corporation,upscapital.com,upscapital.com; insureshield.com,upscprivacyinfosec@ups.com,CA
US Data Corporation,usdatacorporation.com,www.usdatacorporation.com,privacy@usdatacorporation.com,CA
"USPeopleSearch.com, LLC",uspeoplesearch.com,uspeoplesearch.com,compliance@uspeoplesearch.com,CA
Veeva Systems Inc.,veeva.com,veeva.com,privacy@veeva.com,CA
VentiveIQ LLC,ventiveiq.com,ventiveiq.com,privacy@ventiveiq.com,CA
"Veraset, LLC",veraset.com,https://www.veraset.com,tax@veraset.com,CA
"Vi Technologies, Inc.",vi.co,vi.co,privacy@vi.co,CA
"VideoAmp, Inc.",videoamp.com,www.videoamp.com,privacy@videoamp.com,CA
VisitIQ LLC,visitiq.io,visitiq.io,james.dunay@visitiq.io,CA
Vistar Media Inc.,vistarmedia.com,https://www.vistarmedia.com,privacy@vistarmedia.com,CA
Visual Visitor L.L.C.,visualvisitor.com,visualvisitor.com,privacy@visualvisitor.com,CA
"VIZIO Services, LLC",vizio.com,vizio.com; https://www.inscape.tv,privacy@vizio.com,CA
VRTCAL Markets Inc.,vrtcal.com,www.vrtcal.com,privacy@vrtcal.com,CA
"Warmly, Inc.",warmly.ai,warmly.ai,privacy@warmly.ai,CA
We Inform LLC,weinform.org,www.weinform.org; www.truthrecord.org,support@weinform.org,CA
"WealthFeed, Inc.",wealthfeed.com,www.wealthfeed.com,sam@wealthfeed.com,CA
"Webbula, LLC",webbula.com,www.webbula.com,legal@webbula.com,CA
West Publishing Corp,thomsonreuters.com,https://www.thomsonreuters.com,privacy.enquiries@thomsonreuters.com,CA
"Whitepages, Inc",whitepages.com,https://www.whitepages.com,legal@whitepages.com,CA
"Wiland, Inc.",wiland.com,www.wiland.com,privacy@wiland.com,CA
"Windfall Data, Inc.",windfall.com,www.windfall.com,privacy@windfall.com,CA
"Wiza, Inc.",wiza.com,www.wiza.com,harrison@wiza.com,CA
Xcelerated Data LLC,xcelerated.com,xcelerated.com,privacy@xcelerated.com,CA
"Yieldmo, Inc.",yieldmo.com,https://yieldmo.com,privacy@yieldmo.com,CA
ZeroToOne.AI Inc.,zerotoone.ai,https://www.zerotoone.ai,legal@zerotoone.ai,CA
Zeta Global,zetaglobal.com,www.zetaglobal.com,privacy@zetaglobal.com,CA
"ZS Associates, Inc.",zs.com,www.zs.com,dataprivacy@zs.com,CA
Subdirect LLC,www360mediadirect.com,www360mediadirect.com,privacy@360mediadirect.com,CA
"Above Data, Inc.",abovedata.io,abovedata.io,privacy@abovedata.io,CA
"ActivImpact, LLC",activimpact.ai,activimpact.ai,privacy@activimpact.ai,CA
Onfocus SAS,adagio.io,https://adagio.io,dpo@adagio.io,CA
Viant US LLC,viantinc.com,www.viantinc.com,privacy@viantinc.com,CA
Adprime Media LLC,adprime.com,https://www.adprime.com,privacy@adprime.com,CA
Adttribution Inc,adttribution.com,www.adttribution.com,hello@adttrbution.com,CA
"Project Affinity, Inc.",affinity.co,affinity.co,privacy@affinity.co,CA
"NEXT WAVE MARKETING STRATEGIES, INC",agedleadstore.com,agedleadstore.com; nextwavemarketingstrategies.com,privacy_requests@nextwavemarketingstrategies.com,CA
The Alesco Group LLC,alescodata.com,www.alescodata.com,legal@alescodata.com,CA
AlikeAudience Inc,alikeaudience.com,alikeaudience.com,privacy@alikeaudience.com,CA
"Allant Group, LLC",allantgroup.com,https://allantgroup.com,privacy@allantgroup.com,CA
Tagis Inc,amplemarket.com,amplemarket.com,legal@amplemarket.com,CA
"Anteriad, LLC",anteriad.com,www.anteriad.com,privacy@anteriad.com,CA
"Zenleads, Inc.",apollo.io,https://www.apollo.io,dpo@apollo.io,CA
Astoria Company,astoriacompany.com,https://astoriacompany.com,bizdev@astoriacompany.com,CA
Hunt Club Inc,exploreatlas.io,https://app.exploreatlas.io,scott@huntclub.com,CA
Unearth Campaigns LLC,unearthcampaigns.com,www.unearthcampaigns.com; www.atlasinfluence.com,privacy@unearthcampaigns.com,CA
Audience Acuity LLC,audienceacuity.com,audienceacuity.com,privacy@audienceacuity.com,CA
Audience Mix LLC,audiencemix.net,audiencemix.net,privacy@audiencemix.net,CA
"Predictive Pop, Inc.",audigent.com,https://www.audigent.com,CA_DROP_Audigent@experian.com,CA
"Bachmanity, Inc.",aviato.co,aviato.co,privacy@aviato.co,CA
"Azira, LLC",azira.com,www.azira.com,privacy@azira.com,CA
EquiMine Inc.,batchleads.io,www.batchleads.io,ops@equimine.com,CA
BB Direct Inc,bbdirect.com,https://www.bbdirect.com,melodyrongstad@bbdirect.com,CA
Voxtur Data Services,benutech.com,www.benutech.com,chad.brown@benutech.com,CA
Biointelli Corporation,biointelli.com,www.biointelli.com,privacy@biointelli.net,CA
"Solar Connect, LLC",bluefireleads.com,bluefireleads.com; homeupgradepros.us; americanroofers.org; homeupgradepros.net; homeupgradeprofessionals.us; xpertroofers.com; homeupgradepros.org; homeupgradepros.io; homeupgradeprofessionals.net; kwikac.com; homeupgradeprofessionals.com; kwiksiding.com; kwik-kitchen.com; upgradepros.services; betterhousenow.com; kwikroofs.com,dev@bluefireleads.com,CA
Gigabite Inc,boam.ai,https://boam.ai,privacy@boam.com,CA
A Direct Marketing Inc,bookyourdata.com,https://www.bookyourdata.com,data@bookyourdata.com,CA
Crimson Hexagon,brandwatch.com,www.brandwatch.com,dpo@cision.com,CA
"OWMN, LTD.",thebridgecorp.com,www.thebridgecorp.com,privacy@thebridgecorp.com,CA
J2 Global Canada Inc.,campaigner.com,https://www.campaigner.com; https://www.smtp.com,privacy@ziffdavis.com,CA
"Guidestar Direct, Corp.",carneydirect.com,www.carneydirect.com,privacy@carneydirect.com,CA
Pludo Inc,cashmereai.com,cashmereai.com,farbod@cashmereai.com,CA
Catalina Marketing Corporation,catalina.com,www.catalina.com,privacyteam@catalina.com,CA
"CB Information Services, Inc.",cbinsights.com,www.cbinsights.com,privacy@cbinsights.com,CA
"CDK Global, LLC",cdkglobal.com,cdkglobal.com,james.kinzer@cdk.com,CA
"Rushmore Labs, LLC",rushmorelabs.com,https://rushmorelabs.com; https://www.censaianalytics.com,privacy@rushmorelabs.com,CA
"Censia, Inc.",censia.com,www.censia.com,support@censia.com,CA
"Chartboost, LLC",loopme.com,www.loopme.com,privacy@loopme.com,CA
"Elevar, LLC",getelevar.com,getelevar.com,privacy@getelevar.com,CA
"MV Digital Group, LLC",cinqdi.com,www.cinqdi.com,support@cinqdi.com,CA
Cision,cision.com,https://www.cision.com,dpo@cision.com,CA
CITYDATA Inc.,citydata.ai,https://citydata.ai,business@citydata.ai,CA
Claritas LLC,claritas.com,www.claritas.com,rhonda.rich@claritas.com,CA
Clarivate,clarivate.com,www.clarivate.com,drgdsr@clarivate.com,CA
"ClearCompany, LLC",clearcompany.com,clearcompany.com,privacy@clearcompany.com,CA
Clickagy LLC,clickagy.com,Clickagy.com,privacy@clickagy.com,CA
"Summit Resources, LLC",clientcommand.com,clientcommand.com,legal@clientcommand.com,CA
Cognism,cognism.com,www.cognism.com,privacy@cognism.com,CA
eContext.ai LLC,complementics.com,https://complementics.com,akatavic@econtext.ai,CA
Complete Mailing Lists LLC,completemailinglists.com,www.completemailinglists.com,ewoolf@CompleteMailingLists.com,CA
"Comscore, Inc",comscore.com,www.comscore.com,privacy@comscore.com,CA
"Crunchbase, Inc.",crunchbase.com,crunchbase.com,legal@crunchbase.com,CA
"Mississippi Tornado Alley, LLC",advancedbackgroundchecks.com,AdvancedBackgroundChecks.com; CyberBackgroundChecks.com; FastBackgroundCheck.com; FastPeopleSearch.com; PeopleSearchNow.com; Phonebooks.com; SearchPeopleFree.com; SmartBackgroundChecks.com; USA-People-Search.com; USPhoneBook.com,privacy@mtalley.zendesk.com,CA
Data Axle Inc.,data-axle.com,https://www.data-axle.com,privacyteam@data-axle.com,CA
Data Decisions Group,datadecisionsgroup.com,www.datadecisionsgroup.com,privacy@datadecisionsgroup.com,CA
"DT Client Services, LLC",thedatatrust.com,www.thedatatrust.com,info@thedatatrust.com,CA
Datadesk Inc.,datadesk.io,www.datadesk.io,privacy@datadesk.io,CA
"Task Genie, Inc.",datalane.com,datalane.com,admin@datalane.com,CA
Dataman Group Inc,datamangroup.com,www.datamangroup.com,dale@datamangroup.com,CA
Datanyze LLC,datanyze.com,www.datanyze.com,privacy@datanyze.com,CA
"Data Partners, Inc.",datapartners.com,www.datapartners.com,info@datapartners.com,CA
"Datasys Group, Inc.",datasys.com,datasys.com,seth.lubin@datasys.com,CA
Date Detective Inc,date-detective.app,https://www.date-detective.app; https://www.date-detective.com,info@date-detective.app,CA
DealMachine Operations Inc.,dealmachine.com,dealmachine.com,support@dealmachine.com,CA
Decide Technologies Inc.,decide.co,https://decide.co,privacy@decide.co,CA
DecisionLinks LLC,decisionlinks.com,www.decisionlinks.com,support@decisionlinks.com,CA
"Compact Information Systems, LLC",deepsync.com,https://deepsync.com,privacy.compliance@deepsync.com,CA
Monocl AB,monocl.com,account.monocl.com; https://www.definitivehc.com,monocldrop@definitivehc.com,CA
Populi LLC,definitivehc.com,https://www.definitivehc.com,populidrop@definitivehc.com,CA
"Demand Science US, LLC",demandscience.com,demandscience.com,legal@demandscience.com,CA
Qualfon,qualfon.com,www.qualfon.com,consumerprivacy@qualfon.com,CA
"Dice Career Solutions, Inc.",dice.com,https://www.dice.com,support@dice.com,CA
Digital Viking Media Inc,digitalvikingmedia.com,www.digitalvikingmedia.com,privacy@digitalvikingmedia.com,CA
Disqus,disqus.com,Disqus.com,privacy@disqus.com,CA
Innovation Brands Corp,proxima.ai,www.proxima.ai,privacy@proxima.ai,CA
"DonorBase, Inc.",donorbase.com,www.donorbase.com,doba_privacy@donorbase.com,CA
DonorBureau LLC,donorbureau.com,https://donorbureau.com,CCPA@donorbureau.com,CA
Dresden Direct inc.,dresdendirect.com,http://dresdendirect.com,phil@dresdendirect.com,CA
"NetWise Data, LLC",netwisedata.com,https://www.netwisedata.com,privacyofficer@dnb.com,CA
Dun and Bradstreet Inc.,dnb.com,dnb.com,privacyofficer@dnb.com,CA
"Lightcast, LLC",lightcast.io,lightcast.io; rhetorik.com,privacy@lightcast.io,CA
"Endgame Labs, Inc.",endgame.io,endgame.io,info@endgame.io,CA
Enlyft Inc.,enlyft.com,https://enlyft.com,chirag@enlyft.com,CA
"Vertical Int, Inc.",enrichlayer.com,www.enrichlayer.com,privacy@enrichlayer.com,CA
"ListsOnline.com, Inc.",everleads.com,https://www.everleads.com,privacy@everleads.com,CA
"EverView HoldCo, Inc",evertrue.com,www.evertrue.com,privacy@evertrue.com,CA
Exa Labs Inc.,exa.ai,exa.ai,compliance@exa.ai,CA
"Exact Opco, LLC",exactcustomer.com,www.exactcustomer.com,info@exactcustomer.com,CA
"Consumerbase, LLC",exactdata.com,https://www.exactdata.com,privacy@exactdata.com,CA
"BuyersRoad, Inc",experience.com,experience.com,privacy@experience.com,CA
Explorium Inc.,explorium.ai,www.explorium.ai,contact@explorium.ai,CA
Fifty Technology Ltd,fifty.io,https://fifty.io,privacy@fifty.io,CA
"Peoplefinders, LLC",peoplefinders.com,peoplefinders.com; findaneighborhood.com,customercare@peoplefinders.com,CA
"AdvisorTarget, LLC",finsum.com,www.finsum.com,privacy@broadridge.com,CA
"First Direct, Inc.",firstdirectmarketing.com,firstdirectmarketing.com; nationallistcounts.com,privacy@firstdirectmarketing.com,CA
First Orion Corp,firstorion.com,firstorion.com,snichols@firstorion.com,CA
"Home Contractors Review, LLC",fivestarrated.com,www.fivestarrated.com,operations@ignitevisibility.com,CA
"Focus USA, Inc.",focus-usa.com,focus-usa.com,michaelu@focus-usa.com,CA
DealerDirect LLC,forddirect.com,www.forddirect.com,dprivacy@forddirect.com,CA
"FourthWall Media, Inc.",fourthwall.tv,www.fourthwall.tv,californiadrop@fourthwall.tv,CA
J2 Martech Corp,fullcontact.com,https://www.fullcontact.com,privacy@fullcontact.com,CA
"Randall-Reilly, LLC",fusable.com,fusable.com,privacy@fusable.com,CA
Virtual Marketing LLC,fusion92.com,https://www.fusion92.com,databroker@fusion92.com,CA
LeadCrunch,getrev.ai,getrev.ai,privacy@getrev.ai,CA
"Great Lakes List, Inc.",greatlakeslists.com,www.greatlakeslists.com,ccpa@greatlakeslists.com,CA
"xAd, Inc.",groundtruth.com,www.groundtruth.com,legal@groundtruth.com,CA
Healthcare Inc,healthcare.com,https://www.healthcare.com; https://www.pivothealth.com,security@healthcare.com,CA
HealthLink Dimensions,healthlinkdimensions.com,healthlinkdimensions.com,privacy@healthlinkdimensions.com,CA
Heartbeat.AI Inc,heartbeat.ai,www.heartbeat.ai,contact@heartbeat.ai,CA
Carry Technologies Inc.,hightouch.com,hightouch.com,legal@hightouch.com,CA
"HireTeamMate, Inc.",hireez.com,https://www.hireez.com,privacy@hireez.com,CA
ID5 Technology Ltd,id5.io,https://id5.io,privacy@id5.io,CA
"Integrated Direct Marketing, LLC",us.com,idm.us.com,ccpa@idm.us.com,CA
illumin Inc.,illumin.com,http://www.illumin.com,itops@illumin.com,CA
"Inbound Insight, LLC",inboundinsight.com,inboundinsight.com,privacy@inboundinsight.com,CA
"TechTarget, Inc",informatechtarget.com,www.informatechtarget.com; https://www.techtarget.com,privacy@techtarget.com,CA
"InfoPay, Inc",infopay.com,infopay.com; infotracer.com; propertychecker.com; goodcar.com; statecourts.org; courtcasefinder.com; thepublicindex.org; entitycheck.com; sentinex.org; idstrong.com; courtrecords.us; staterecords.org; recordsfinder.com,compliance@infopay.com,CA
Lead Intelligence Inc.,infutor.com,https://infutor.com,privacy@infutor.com,CA
"InMarket Media, LLC",inmarket.com,www.inmarket.com,jknapp@inmarket.com,CA
Instant Checkmate LLC,instantcheckmate.com,www.instantcheckmate.com; www.cellphonedirectory.com; www.cheaterslie.com; www.freepeople-search.com,tara.buck@peopleconnect.us,CA
"Foo Monk, LLC",instantly.ai,instantly.ai,privacy@instantly.ai,CA
"Intelius, LLC",intelius.com,www.intelius.com; www.ussearch.com; www.pro.ussearch.com; www.arrestrecordsearch.com; www.criminalrecords.com; www.peoplefinder.com; www.peoplefind.com; www.telephonenumberlookups.com; www.reversephonelookup.com; www.brbpub.com; www.callercomplaints.com; www.courtreference.com; www.easybackgroundchecks.com; www.freebackgroundchecksusa.com; www.onlinesearches.com; www.snoopstation.com; www.zabasearch.com; www.addresses.com; www.publicrecords.com; www.publicrecords.onlinesearches.com; www.peoplelookup.com; www.publicrecords360.com,legal@intelius.com,CA
JDM LIST SERVICES,jdmlistservices.com,www.jdmlistservices.com,chrissy@jdmlistservices.com,CA
"JMR Media Consulting, Inc.",jmr-media.com,https://www.jmr-media.com,jon@jmr-media.com,CA
"Intalytics, Inc.",intalytics.com,Intalytics.com,privacy@kalibrate.com,CA
KB Synergy Inc,kbsynergy.com,kbsynergy.com,info@kbsynergy.com,CA
Key Marketing Advantage,keymarketingadvantage.com,www.keymarketingadvantage.com,lbridson@keymarketingadvantage.com,CA
Scalable Commerce LLC,kidslivesafe.com,kidslivesafe.com; quickpublicrecords.com,privacyinfo@kidslivesafe.com,CA
iWave Information Systems,kindsight.io,https://www.kindsight.io,privacy+california@iwave.com,CA
"Komodo Health, Inc.",komodohealth.com,https://www.komodohealth.com,trust-and-safety@komodohealth.com,CA
Kontext Data,kontextdata.com,kontextdata.com,info@kontextdata.com,CA
"Labels & Lists, Inc",l2-data.com,https://www.l2-data.com,lauren.pembo@l2political.com,CA
LEAD ENHANCE LLC,lead-enhance.com,www.lead-enhance.com,josh@lead-enhance.com,CA
Lead Me Media LLC,leadmemedia.com,leadmemedia.com,californiaregistry@leadmemedia.com,CA
Lead411 Corporation,lead411.com,lead411.com; growjo.com; quickenrich.io,tom@lead411.io,CA
"Property Reach, L.P.",propertyreach.com,propertyreach.com; leadsherpa.com,compliance@propertyreach.com,CA
RELX Inc.,lexisnexis.com,www.lexisnexis.com,privacy.inquiries@lexisnexis.com,CA
"Blue Hill Marketing Solutions, Inc",liftbasedata.com,www.liftbasedata.com; www.liftengine.com; www.launchpadltv.com,Dataprivacy@liftbasedata.com,CA
"LightBox Parent, L.P.",lightboxre.com,lightboxre.com,jfranks@lightboxre.com,CA
Nachal Inc.,getliminal.com,www.getliminal.com,privacy@getliminal.com,CA
"LionShare Marketing, Inc",lionsharemarketing.com,www.lionsharemarketing.com,ap@lionsharemarketing.com,CA
LoopMe Limited,loopme.com,loopme.com,legal@loopme.com,CA
"Lusha Systems, Inc",lusha.com,www.lusha.com,legal@lusha.com,CA
"M&R Strategic Services, Inc.",mrss.com,www.mrss.com,Privacy@mrss.com,CA
"Madhive, Inc.",madhive.com,https://www.madhive.com,privacy@madhive.com,CA
"Infinite Media Concepts, Inc.",mailinglists.com,mailinglists.com,unsubscribe@mailinglists.com,CA
"MaxMind, Inc.",maxmind.com,https://www.maxmind.com,tgonzalez@maxmind.com,CA
"MedPro Systems, LLC",medprosystems.com,https://www.medprosystems.com,privacy@medprosystems.com,CA
Melissa Data Corporation,melissa.com,www.melissa.com,compliance@melissa.com,CA
Milestone Marketing Solutions,milestonemarketingsolutions.com,www.milestonemarketingsolutions.com,accounting@milestonemarketingsolutions.com,CA
Minerva BI Inc,minerva.io,www.minerva.io,privacy@minerva.io,CA
Anne Lewis Strategies LLC,missionwired.com,www.missionwired.com,info@missionwired.com,CA
Online Media Group Inc.,omginc.xyz,www.omginc.xyz; www.mixrank.com,privacy@omginc.xyz,CA
MobileFuse LLC,mobilefuse.com,https://mobilefuse.com,danb@mobilefuse.com,CA
"Mobilewalla, Inc.",mobilewalla.com,www.mobilewalla.com,jclark@mobilewalla.com,CA
R.L. Polk & Co.,mobilityglobal.com,www.mobilityglobal.com; www.spglobal.com,privacy@mobilityglobal.com,CA
ModFx Labs Pvt Ltd,modfxlabs.com,www.modfxlabs.com,mandeep@modfxlabs.com,CA
Modigie Inc,modigie.com,www.modigie.com,dpauli@modigie.com,CA
"Ownco, LLC",monitorbase.com,https://www.monitorbase.com,privacy@monitorbase.com,CA
"Apollo Interactive, LLC",apollointeractive.com,apollointeractive.com; http://mortgageratespro.com; http://online-mortgage-loans.com; http://final-expense-quotes.com; http://greatlifeinsurancegroup.com; http://lifeinsurancepro.org; http://nationalhomequotes.com; http://bestautoinsurance.com; http://blueskycoverage.com; http://nationalautoquotes.com; http://affordablehealthquotesforyou.com; http://online-health-insurance.com; http://healthplansamerica.org; http://medicarecoveragefinder.com; http://medicareinfo.org; http://medicare-providers.net; http://direct-mortgage-quotes.com; http://insuranceplanmarket.com; http://petinsurancemarket.com; http://autopolicymarket.com; http://healthplanmarket.com; http://yourpolicyguide.com; http://medicaremarket.com; http://medicareplan.net,deatherage@apollointeractive.com,CA
"MULTIMEDIA LISTS, INC.",multimedialists.com,www.multimedialists.com,daniel@multimedialists.com,CA
Definitive Healthcare LLC,definitivehc.com,https://www.definitivehc.com,privacy@definitivehc.com,CA
Networx Systems Inc.,networx.com,www.networx.com,amyl@networx.com,CA
"NextRoll, Inc.",nextroll.com,www.nextroll.com,legal@nextroll.com,CA
"NFocus Consulting, Inc.",n-focus.com,www.n-focus.com,consumer@n-focus.com,CA
"eXelate, Inc.",nielsen.com,www.nielsen.com,privacy.department@nielsen.com,CA
"The Nielsen Company, LLC",nielsen.com,www.nielsen.com,nielsenprivacy@nielsen.com,CA
"Consumer Canvas, LLC",consumercanvas.net,www.consumercanvas.net,privacy@consumercanvas.net,CA
"FinThrive Healthcare, Inc.",finthrive.com,www.finthrive.com,tuhc@finthrive.com,CA
"ExlService.com, LLC",exlservice.com,exlservice.com,privacy@exlservice.com,CA
Online Advertising Network sp. z o.o.,oan.pl,https://www.oan.pl; https://ai.oan.pl,privacy@oan.pl,CA
Ocean Global Inc,ocean.io,ocean.io,kny@ocean.io,CA
Mobile Technology Corporation,onspotdata.com,www.onspotdata.com,accounting@onspotdata.com,CA
Opensend Inc,opensend.com,opensend.com,privacy@opensend.com,CA
Optable Technologies US Inc.,optable.co,www.optable.co,legal@optable.co,CA
Outward Media Inc.,outwardmedia.com,https://outwardmedia.com,privacy@outwardmedia.com,CA
Pacific East Research Inc,pacificeast.com,www.pacificeast.com,privacy@pacificeast.com,CA
"Paramount Lists, Inc.",paramountdirectmarketing.com,www.paramountdirectmarketing.com,ccpa@paramountdirectmarketing.com,CA
"Path2Response, LLC",path2response.com,www.path2response.com,privacyinfo@path2response.com,CA
"Knowledge Works, Inc.",paynetonline.com,sbinsights.paynetonline.com,usprivacy@equifax.com,CA
"Pen-Link, Ltd.",penlink.com,www.penlink.com,privacy@penlink.com,CA
Hivestack Technologies Inc.,perion.com,www.perion.com,privacy@hivestack.com,CA
Command Precision Inc.,persistent.id,Persistent.id,privacy@persistent.id,CA
PeoplefindersDaaS,peoplefindersdaas.com,www.peoplefindersdaas.com,bryce@peoplefindersdaas.com,CA
Datamentors LLC,porchgroupmedia.com,www.porchgroupmedia.com,lchiodo@porchgroupmedia.com,CA
"PlaceIQ, Inc.",precisely.com,www.precisely.com,placeiq.privacy@precisely.com,CA
Plug Chargers LLC,plug-industries.com,www.plug-industries.com,blakehogan@plug-industries.com,CA
"Plunge, LLC",plungedigital.com,www.plungedigital.com,privacy@plungedigital.com,CA
Podible Inc,podscribe.com,www.podscribe.com,privacy@podscribe.com,CA
"Pop Acta Media, LLC",popacta.com,www.popacta.com,legal@popacta.com,CA
Precisely Software Incorporated,precisely.com,www.precisely.com; www.cloud.precisely.com; www.cloudnative.precisely.com; www.data.precisely.com; www.developer.precisely.com; www.geotax.com; www.mapinfomarketplace.precisely.com; www.portal.spectrum.precisely.com,privacy@precisely.com,CA
PrivCo Holding Inc,privco.com,www.privco.com,legal@privco.com,CA
"Addapptation, Inc.",propensity.com,https://www.propensity.com,infosec@propensity.com,CA
"National Data Analytics, LLC",publicdatacheck.com,publicdatacheck.com,privacyinfo@publicdatacheck.com,CA
"Information Data Resources, LLC",publicinfoservices.com,publicinfoservices.com,privacyinfo@publicinfoservices.com,CA
BIGDBM,bigdbm.com,https://bigdbm.com; https://optout.bigdbm.com,privacy@bigdbm.com,CA
"PulsePoint, Inc.",pulsepoint.com,www.pulsepoint.com,dataprivacy@pulsepoint.com,CA
"Quad Graphics, Inc.",quad.com,www.quad.com,DataBroker@quad.com,CA
RampedUp,rampedup.io,rampedup.io,privacy@rampedup.io,CA
"Ray CDP, Inc.",rayinsights.com,www.rayinsights.com; www.raycdp.com,ddemarsh@rayinsights.com,CA
Globicom Inc,recordsfinder.com,https://recordsfinder.com; https://peoplepublicrecords.org,aregsakanyan@gmail.com,CA
Redmob LLC,redmob.io,www.redmob.io,privacy@redmob.io,CA
Reklaim Ltd.,reklaimyours.com,www.reklaimyours.com,finance@reklaimyours.com,CA
GETEMAILS LLC,retention.com,www.retention.com; www.rb2b.com,support@retention.com,CA
"RevenueBase, Inc",revenuebase.ai,revenuebase.ai,privacy@revenuebase.ai,CA
"ReallyGreatRate, Inc",rgrmarketing.com,www.rgrmarketing.com,drop@rgrmarketing.com,CA
"ROR Partners, LLC",rorpartners.com,rorpartners.com,privacy@rorpartners.com,CA
S&P Global Inc,spglobal.com,https://www.spglobal.com,privacy@spglobal.com,CA
Sabio Inc,sabioctv.com,https://www.sabioctv.com,privacy@sabio.inc,CA
"Aniline, Inc.",aniline.ai,www.aniline.ai; www.salesassistiq.ai,jen@aniline.io,CA
SciLeads Ltd,scileads.com,https://scileads.com,privacy@scileads.com,CA
"Seamless Contacts, Inc.",seamless.ai,https://www.seamless.ai,privacy@seamlessleads.com,CA
"Civil Data Research, LLC",searchpublicrecords.com,searchpublicrecords.com,privacyinfo@searchpublicrecords.com,CA
"ZipStorm, Inc.",seekout.com,www.seekout.com,legal@seekout.com,CA
Semasio GmbH,semasio.com,www.semasio.com,info@semasio.com,CA
The Segerdahl LLC,sg360.com,www.sg360.com,charlesg@sg360.com,CA
Predactiv,predactiv.com,www.predactiv.com,privacy@predactiv.com,CA
"SheerID, Inc.",sheerid.com,https://www.sheerid.com,privacy@sheerid.com,CA
"Slashdot Media, LLC",slashdotmedia.com,www.slashdotmedia.com; www.sourceforge.net; www.slashdot.org; www.voipreview.org; www.linuxjournal.com; www.myrateplan.com; Wirefly.com,roger.abbott@slashdotmedia.com,CA
SMARTe Inc,smarte.pro,www.smarte.pro,privacy@smarteprivacy.com,CA
"Social Catfish, LLC",socialcatfish.com,https://socialcatfish.com,david@socialcatfish.com,CA
"Effyis, Inc.",socialgist.ai,www.socialgist.ai,cwolfe@socialgist.com,CA
"Sojern, Inc",sojern.com,https://www.sojern.com,sojernlegal@sojern.com,CA
Connection Holdings,connectionholdings.com,connectionholdings.com,amanda@connectionholdings.com,CA
"Specialists Marketing Services, Inc.",sms-inc.com,www.sms-inc.com,dataprivacyteam@sms-inc.com,CA
Speedeon Data LLC,speedeondata.com,https://speedeondata.com,accounting@speedeondata.com,CA
"Spokeo, Inc.",spokeo.com,www.spokeo.com; www.freepeopledirectory.com; www.thatsthem.com; www.peoplewin.com; www.anywho.com; www.family.me,jmatthes@spokeo.com,CA
"Spy Labs AdCo, LLC",spydialer.com,spydialer.com,info@spydialer.com,CA
"Digital Safety Products, LLC",spyfly.com,spyfly.com; publicrecordreports.com,privacyinfo@spyfly.com,CA
StackAdapt Inc.,stackadapt.com,stackadapt.com,privacy@stackadapt.com,CA
"Intermedia Ventures, LLC",staterecords.org,staterecords.org; courtrecords.us; californiacourtrecords.us,compliance@intermedia.team,CA
StatSocial,statsocial.com,statsocial.com,privacy@statsocial.com,CA
"Stirista, LLC",stirista.com,www.stirista.com; www.lbdigitaldata.com; www.mediasourcesolutions.com; ameribase.com; www.lighthouselist.com; www.andrewswharton.com; www.listconnection.net; www.magnetik.com,info@stirista.com,CA
"Qurium Solutions, Inc.",supplier.io,www.supplier.io,dj.merino@supplier.io,CA
Swordfish AI Inc,swordfish.ai,www.swordfish.ai,contact@swordfish.ai,CA
"Orgio, Inc.",theorg.com,theorg.com,privacy@theorg.com,CA
Think Data Group Inc,thinkdatagroup.com,www.thinkdatagroup.com,barry.gold@thinkdatagroup.com,CA
Revenue Roll Inc.,meettie.com,meettie.com,info@meettie.com,CA
"Enformion, LLC",enformion.com,enformion.com; tracers.com; go.enformion.com,support@enformion.com,CA
Trans Union LLC,transunion.com,www.transunion.com,privacy@transunion.com,CA
"TripleLift, Inc.",triplelift.com,triplelift.com,privacy@triplelift.com,CA
"TrueData Solutions, Inc.",truedata.co,https://www.truedata.co,privacy@truedata.co,CA
"Free Data Services, LLC",truepeoplesearch.com,truepeoplesearch.com,privacy@truepeoplesearch.com,CA
"Huge Legal Technology Company, Inc",trustandwill.com,www.trustandwill.com,privacy@hugelegaltech.com,CA
"TruthFinder, LLC",truthfinder.com,www.truthfinder.com; www.courthousedirectory.us; www.getfullreport.com; www.unitedstatesbackgroundchecks.com; www.courtlocations.com; www.locaterecord.net; www.recordlocator.net; www.backgroundchecks.us,legal@peopleconnect.us,CA
"Unacast, Inc.",unacast.com,www.unacast.com,privacy@unacast.com,CA
"upcell, LLC",upcell.io,www.upcell.io,policy@upcell.io,CA
"Urban Science Applications, Inc.",urbanscience.com,https://www.urbanscience.com,USDataBroker@urbanscience.com,CA
BH Marketing Group LLC,usmarketinggrp.com,https://usmarketinggrp.com,privacy@usmarketinggrp.com,CA
"USADATA, Inc",usadata.com,https://www.usadata.com,support@usadata.com,CA
